number, created_at, updated_at, closed_at
27989, 2024-01-18T20:06:13Z, 2024-02-06T16:45:19Z, 2024-02-06T16:45:19Z
27953, 2024-01-15T22:12:06Z, 2024-01-15T22:12:18Z, 2024-01-15T22:12:18Z
27938, 2024-01-15T13:25:29Z, 2024-06-07T18:49:30Z, None
27933, 2024-01-13T07:36:53Z, 2024-02-25T20:10:10Z, None
27908, 2024-01-09T10:48:50Z, 2024-01-11T18:10:53Z, 2024-01-11T18:10:53Z
27902, 2024-01-08T19:24:18Z, 2024-01-09T13:24:11Z, 2024-01-09T13:23:17Z
27889, 2024-01-07T05:08:52Z, 2024-03-14T15:59:55Z, 2024-02-22T11:42:53Z
27875, 2024-01-03T07:15:18Z, 2024-01-03T11:22:57Z, 2024-01-03T11:22:57Z
27872, 2024-01-02T20:13:02Z, 2024-04-05T12:25:10Z, None
27851, 2023-12-20T09:02:13Z, 2024-06-27T13:37:00Z, 2024-06-27T13:29:28Z
27834, 2023-12-13T18:28:15Z, 2024-01-02T13:47:56Z, 2024-01-02T13:47:49Z
27832, 2023-12-12T23:10:09Z, 2023-12-12T23:19:57Z, 2023-12-12T23:10:22Z
27822, 2023-12-09T03:42:50Z, 2023-12-09T03:43:03Z, 2023-12-09T03:43:02Z
27791, 2023-12-04T21:26:04Z, 2024-02-21T16:14:33Z, None
27789, 2023-12-04T20:14:44Z, 2023-12-04T20:14:44Z, None
27782, 2023-12-04T02:59:38Z, 2023-12-04T02:59:53Z, 2023-12-04T02:59:53Z
27780, 2023-12-03T11:48:56Z, 2023-12-03T11:49:10Z, 2023-12-03T11:49:10Z
27764, 2023-11-30T14:48:38Z, 2023-12-11T23:23:03Z, None
27762, 2023-11-30T05:56:38Z, 2024-01-01T13:48:54Z, None
27758, 2023-11-29T09:17:59Z, 2023-12-04T16:11:28Z, None
27757, 2023-11-29T07:57:33Z, 2023-11-29T07:57:50Z, 2023-11-29T07:57:50Z
27756, 2023-11-29T05:57:58Z, 2023-12-05T03:21:00Z, 2023-12-05T03:20:59Z
27752, 2023-11-28T04:02:42Z, 2024-06-03T09:55:58Z, 2023-12-10T02:51:44Z
27749, 2023-11-27T09:33:31Z, 2024-03-27T17:04:09Z, None
27728, 2023-11-20T07:58:56Z, 2024-06-25T02:24:11Z, None
27724, 2023-11-17T19:44:51Z, 2024-01-07T05:22:53Z, None
27705, 2023-11-15T06:18:55Z, 2024-05-06T15:13:31Z, None
27578, 2023-10-25T01:09:57Z, 2023-10-25T08:26:41Z, 2023-10-25T08:25:55Z
27567, 2023-10-23T02:53:22Z, 2023-10-23T02:53:35Z, 2023-10-23T02:53:35Z
27547, 2023-10-19T10:43:23Z, 2023-10-19T10:44:22Z, 2023-10-19T10:44:21Z
27391, 2023-09-18T20:36:14Z, 2024-05-02T11:06:29Z, 2024-05-02T11:06:29Z
27335, 2023-09-05T12:53:45Z, 2023-10-22T08:34:10Z, None
27285, 2023-08-26T06:33:37Z, 2023-08-26T06:33:49Z, 2023-08-26T06:33:49Z
27244, 2023-08-18T06:09:09Z, 2024-06-27T13:23:09Z, 2024-06-27T13:23:09Z
27211, 2023-08-10T21:49:58Z, 2023-09-11T20:02:57Z, None
27193, 2023-08-05T08:23:33Z, 2023-11-16T11:36:17Z, 2023-11-16T11:36:17Z
27186, 2023-08-04T06:23:24Z, 2023-08-11T14:35:47Z, None
27185, 2023-08-03T20:36:23Z, 2023-10-14T11:48:10Z, None
27177, 2023-08-02T02:26:00Z, 2023-08-22T17:54:34Z, 2023-08-22T17:54:34Z
27163, 2023-07-28T05:16:12Z, 2023-07-28T05:16:24Z, 2023-07-28T05:16:24Z
27158, 2023-07-27T06:49:02Z, 2024-03-01T16:44:12Z, None
27128, 2023-07-19T12:10:45Z, 2024-04-08T10:56:51Z, None
27121, 2023-07-18T13:14:35Z, 2023-08-02T08:34:25Z, None
27119, 2023-07-17T22:43:05Z, 2023-10-05T15:53:11Z, 2023-08-29T11:09:28Z
27112, 2023-07-13T21:58:31Z, 2023-08-01T11:11:45Z, 2023-08-01T11:11:45Z
27111, 2023-07-13T19:01:47Z, 2023-07-13T19:02:02Z, 2023-07-13T19:02:02Z
27025, 2023-06-29T23:13:56Z, 2024-06-27T15:11:44Z, None
27021, 2023-06-28T08:04:02Z, 2023-07-13T12:40:44Z, None
26944, 2023-06-14T02:31:20Z, 2023-06-14T02:31:34Z, 2023-06-14T02:31:34Z
26928, 2023-06-12T15:59:02Z, 2023-06-19T01:27:00Z, None
26911, 2023-06-07T17:26:43Z, 2023-08-29T09:40:04Z, 2023-08-29T09:40:04Z
26903, 2023-06-05T15:18:44Z, 2023-06-13T11:44:59Z, None
26895, 2023-06-03T11:29:44Z, 2023-06-03T11:29:58Z, 2023-06-03T11:29:58Z
26886, 2023-06-01T15:25:07Z, 2024-02-24T15:09:50Z, None
26876, 2023-05-31T15:17:41Z, 2023-09-21T04:57:11Z, 2023-09-21T04:57:11Z
26860, 2023-05-26T12:03:19Z, 2023-08-04T07:42:43Z, 2023-08-04T07:42:43Z
26821, 2023-05-16T18:27:09Z, 2023-05-17T12:34:36Z, 2023-05-17T12:34:36Z
26797, 2023-05-09T15:33:15Z, 2023-05-15T13:21:00Z, 2023-05-15T13:12:07Z
26794, 2023-05-08T16:35:24Z, 2023-05-08T18:03:32Z, 2023-05-08T18:02:52Z
26793, 2023-05-08T06:59:51Z, 2023-08-03T19:02:20Z, 2023-08-03T19:02:20Z
26787, 2023-05-06T23:03:50Z, 2023-05-17T10:40:52Z, 2023-05-17T10:40:52Z
